number,value,datetime_start,datetime_complete,duration,params_gross_short,params_lambda_long,params_lambda_short,params_rebal_freq,params_rsi_period,params_top_n_long,params_top_n_short,state
64,0.9332,2026-04-21 20:53:35.368134,2026-04-21 20:53:39.695282,0 days 00:00:04.327148,0.2,0.6588168540043432,3.902266485858846,2,7,15,5,COMPLETE
65,0.9332,2026-04-21 20:53:39.696715,2026-04-21 20:53:43.967922,0 days 00:00:04.271207,0.2,2.6827100764919027,2.050787358204274,2,7,15,5,COMPLETE
66,0.5834,2026-04-21 20:53:43.969652,2026-04-21 20:53:49.215687,0 days 00:00:05.246035,0.3,1.5735551607287308,4.562590271104072,1,7,15,5,COMPLETE
67,0.7115,2026-04-21 20:53:49.217083,2026-04-21 20:53:53.353635,0 days 00:00:04.136552,0.5,1.3360336896828442,2.7715384619949712,2,7,10,5,COMPLETE
68,0.8355,2026-04-21 20:53:53.354966,2026-04-21 20:53:57.316403,0 days 00:00:03.961437,0.2,2.6894847981823444,4.142215599579743,3,7,15,5,COMPLETE
69,0.8187,2026-04-21 20:53:57.317742,2026-04-21 20:54:01.494161,0 days 00:00:04.176419,0.2,0.85695355150843,1.8505673460485792,2,5,15,5,COMPLETE
70,0.8618,2026-04-21 20:54:01.495568,2026-04-21 20:54:05.632934,0 days 00:00:04.137366,0.4,1.8648982700834256,7.080861840111668,2,7,15,8,COMPLETE
71,0.9332,2026-04-21 20:54:05.634650,2026-04-21 20:54:09.629475,0 days 00:00:03.994825,0.2,1.6660141888297577,5.623934042936407,2,7,15,5,COMPLETE
72,0.9332,2026-04-21 20:54:09.630738,2026-04-21 20:54:14.858785,0 days 00:00:05.228047,0.2,1.156773231494796,3.2928840123985723,2,7,15,5,COMPLETE
73,0.9332,2026-04-21 20:54:14.860163,2026-04-21 20:54:19.016417,0 days 00:00:04.156254,0.2,1.5803190978375692,5.121132580316861,2,7,15,5,COMPLETE
74,0.9332,2026-04-21 20:54:19.017896,2026-04-21 20:54:22.988710,0 days 00:00:03.970814,0.2,1.3491582499499364,7.985107313609729,2,7,15,5,COMPLETE
75,0.8125,2026-04-21 20:54:22.990775,2026-04-21 20:54:27.139597,0 days 00:00:04.148822,0.2,2.215731858710653,2.490862952947772,2,2,20,5,COMPLETE
76,0.9651,2026-04-21 20:54:27.141385,2026-04-21 20:54:31.087390,0 days 00:00:03.946005,0.2,0.9116238143505125,3.503138099317926,2,7,15,12,COMPLETE
77,0.7666,2026-04-21 20:54:31.088932,2026-04-21 20:54:35.123359,0 days 00:00:04.034427,0.2,0.9017852174721401,3.522118782187071,2,3,15,12,COMPLETE
78,0.7164,2026-04-21 20:54:35.124889,2026-04-21 20:54:40.136601,0 days 00:00:05.011712,0.2,1.024937021332227,2.950439575057402,1,7,15,12,COMPLETE
79,0.8146,2026-04-21 20:54:40.137965,2026-04-21 20:54:44.117117,0 days 00:00:03.979152,0.5,0.6565645164564624,2.2079471895081295,2,7,15,12,COMPLETE
