trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
217,0.8956348813836968,1.007419213283788,0.11882918168029866,0.5916,0.8488,8.59,-29.19,67.66
218,0.8527811296319127,0.5220471351142715,0.4266723355720297,0.68,0.9845,9.46,-24.77,76.22
219,0.29894365111890553,0.8854803763247234,0.19847003387391704,0.609,0.8708,9.05,-29.45,72.15
220,0.274825050755067,1.3298363432578038,0.09379684096974567,0.5913,0.8437,8.98,-30.97,71.42
221,0.0848115912357631,0.5128904078184906,0.3588195738207838,0.6643,0.9511,10.04,-27.91,82.23
222,0.8074316059762817,1.4981150551001472,0.14818102850558246,0.5973,0.8575,8.62,-28.82,67.97
223,0.4079419511312822,0.20523191704443944,0.2874359648115168,0.6993,1.0093,10.69,-27.84,89.07
224,0.9975800372629172,1.0513215151809878,0.2976064202066859,0.625,0.9003,8.75,-26.64,69.16
225,0.392369092921794,1.3729481404283321,0.24845829806517472,0.6181,0.8857,9.01,-28.44,71.79
226,0.1343669133130615,0.5480676947987002,0.03358333442388345,0.6068,0.8648,9.62,-32.24,77.83
227,0.20197903768878156,0.026503171499868305,0.2266399582500817,0.7081,1.0203,11.4,-29.37,96.78
228,0.6345402649517972,0.5149386935683616,0.21019088575263856,0.6408,0.922,9.42,-28.23,75.87
229,0.9592092728445759,1.1279446823623733,0.2704283184724756,0.6198,0.8923,8.72,-27.03,68.94
230,0.28454087511182524,1.345495198159493,0.11754855844032974,0.5953,0.8498,8.99,-30.62,71.55
231,0.32534273051667706,1.3635972216344228,0.2647710276425362,0.6206,0.8888,9.08,-28.43,72.49
232,0.7423179494179767,0.8861171912456491,0.3267196045047476,0.6306,0.9089,8.77,-26.25,69.43
233,0.29938329151482557,0.3620580924399944,0.16124617358433263,0.6568,0.9422,10.22,-29.96,84.04
234,0.15544156408342247,1.3114715479362111,0.14162346662505704,0.5982,0.8529,9.11,-30.7,72.79
235,0.5614893944143846,1.187961637712061,0.3919120546878568,0.6444,0.9281,8.98,-25.83,71.44
