trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
192,1.40955224387135,0.7045487286443767,0.42513714941686087,0.6132,9.99,-30.05,81.65,0
193,0.8405907955915243,0.5985803502377822,0.26570552050228885,0.6502,7.08,-20.93,53.54,0
194,0.6049797158960706,0.47826300804184874,0.45866883627583804,0.6538,6.36,-17.35,47.18,0
195,1.1308322403647424,0.21300789892436098,0.16942781780480248,0.5091,6.08,-21.76,44.77,0
196,0.6916030096626998,0.029787758158287048,0.46373022925201335,0.5096,4.78,-18.24,34.03,0
197,0.9482073282568715,0.3690420869049434,0.2992385957788683,0.5908,6.63,-19.74,49.57,0
198,0.5073144562930156,0.3336265279209766,0.3515167328494463,0.6407,4.98,-13.88,35.64,0
199,1.1337697730692629,1.1781671370510425,0.310178854829022,0.6782,10.58,-31.8,87.86,0
200,0.9775058736277328,0.9137190758208091,0.45166393598202653,0.6819,9.53,-25.86,76.92,0
201,1.2206959467183516,1.1558534682592554,0.3910025853690886,0.6761,11.08,-32.41,93.3,0
202,1.3668014382619265,0.13692488542036463,0.36620675149689386,0.5046,7.21,-25.3,54.72,0
203,0.9400886995273686,0.6637245628935302,0.3270512047411784,0.6518,7.94,-22.96,61.43,0
204,1.4698151167055693,1.1814936977179495,0.14411412274395263,0.6269,10.97,-37.12,92.09,0
205,1.2337534974379163,0.8999802455223224,0.1732464306565244,0.6266,9.29,-30.77,74.51,0
206,0.623869774864221,0.04913635234286371,0.3886715637645893,0.5203,4.35,-15.85,30.61,0
207,0.9896997418169059,1.1826482033939114,0.23248672809682652,0.6815,9.8,-30.17,79.66,0
208,1.4779169790738402,0.49389120263287184,0.3968410752799863,0.5719,9.2,-28.94,73.6,0
209,0.5848192723118321,0.6665540521653167,0.4010298934928621,0.6917,6.85,-16.91,51.53,0
210,1.4247016672198887,0.9870997087409179,0.018485363600587112,0.5888,9.56,-35.05,77.21,0
211,0.8727023413067342,0.058438166776621524,0.054641145557279,0.4461,4.06,-17.73,28.37,0
