trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
110,1.2348931623102908,0.242885511750862,0.3473990644092491,0.7803,10.72,-20.14,89.35,0
111,1.360719068325894,0.1585234047618527,0.3071898702709599,0.7706,11.26,-19.85,95.21,0
112,0.5950957482299346,0.8708587539257122,0.042246609411760117,0.8303,8.35,-19.08,65.35,0
113,1.4359398227006261,0.1648895160453626,0.4794401229545402,0.7419,11.78,-25.28,100.97,0
114,1.3008841760850967,0.7124184053596249,0.39131205231477345,0.8368,13.22,-21.87,117.76,0
115,1.295114838983086,1.1352324753807963,0.1266916769195936,0.8759,14.84,-25.78,138.11,0
116,1.0900758953583092,0.11405903707728146,0.30808285001206065,0.7532,9.07,-17.96,72.4,0
117,0.6712913040927888,0.6779407337669302,0.28621525701692485,0.8166,8.26,-15.45,64.48,0
118,0.9659851529812273,0.6271581306157473,0.38196169500329397,0.8178,10.34,-19.3,85.31,0
119,1.2992447165120666,0.5905838586905149,0.29979672076130615,0.8436,12.71,-19.2,111.77,0
120,1.4312362356901018,0.14368030620134736,0.05855178295005525,0.787,11.65,-17.95,99.59,0
121,0.5877090119107684,0.7894359420486333,0.20930415039518974,0.8158,8.03,-17.41,62.29,0
122,1.2743214161418432,0.805477695970311,0.16681887916411908,0.8742,13.41,-20.47,120.08,0
123,1.3983665473615359,0.9150385764847827,0.13526747045508786,0.8778,14.76,-22.79,137.07,0
124,0.864192017772054,0.37732797624511544,0.07880582431249983,0.8617,8.49,-11.38,66.7,0
125,0.6477833725421916,1.1233529560508928,0.21895201859937663,0.7887,9.76,-24.13,79.32,0
126,0.8833198227774098,0.8756228504128535,0.27649653262644996,0.8427,10.71,-19.75,89.21,0
127,1.4361399868384623,0.9363617926912706,0.23968478206227017,0.8707,15.14,-23.3,142.04,0
128,0.8763594734808262,1.1839578539091864,0.35888011800182174,0.8061,11.8,-25.31,101.21,0
129,1.451194660003841,0.14217429266044962,0.4252668395953913,0.7483,11.8,-23.86,101.28,0
130,1.1370738839912076,0.14630601400213508,0.29412899998461034,0.7667,9.57,-17.88,77.37,0
131,1.1860963651054488,0.014763223066323404,0.22715898092087328,0.7418,9.33,-16.23,74.93,0
132,1.3253995111963213,0.35443083041290785,0.22927404089927556,0.8218,11.88,-17.31,102.2,0
133,0.9423141270678932,0.3623128697309899,0.4592209477577771,0.7539,9.02,-21.41,71.84,0
134,1.2812940354315159,0.13270609319533258,0.49851732891878653,0.7212,10.5,-24.79,87.06,0
135,1.3792000243077451,0.34069012543684674,0.4184482898304691,0.7869,12.19,-23.18,105.67,0
136,0.6064195318713829,1.1989256765690863,0.33284236805326844,0.7459,9.69,-25.6,78.62,0
137,1.150125015558797,0.10852887238095929,0.44851669944831263,0.7181,9.46,-22.49,76.23,0
138,0.5289995032044694,0.28899366964937645,0.0715109375833175,0.8688,5.5,-8.08,39.91,0
139,1.2767679406922186,0.23784507265547744,0.45531911356544263,0.7554,10.97,-23.54,92.05,0
140,1.1562690393274901,0.043395252593635456,0.0027149170643502307,0.7643,9.17,-14.7,73.35,0
141,0.5516579170143989,0.7271102131772732,0.40074090542970764,0.7352,7.48,-17.04,57.19,0
