trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
112,0.0950957482299346,1.0885734424071403,0.042246609411760117,0.6,0.851,9.71,-33.62,78.78
113,0.935939822700626,0.20611189505670324,0.4794401229545402,0.6728,0.9641,10.53,-30.14,87.29
114,0.8008841760850967,0.8905230066995311,0.39131205231477345,0.631,0.8997,9.69,-30.81,78.56
115,0.7951148389830859,1.4190405942259954,0.1266916769195936,0.58,0.8235,8.88,-32.35,70.44
116,0.5900758953583092,0.14257379634660183,0.30808285001206065,0.6688,0.9563,10.83,-31.53,90.51
117,0.1712913040927888,0.8474259172086628,0.28621525701692485,0.6286,0.8938,10.06,-32.14,82.38
118,0.46598515298122734,0.7839476632696842,0.38196169500329397,0.6382,0.9092,10.02,-31.25,81.96
119,0.7992447165120666,0.7382298233631437,0.29979672076130615,0.6347,0.9053,9.9,-31.34,80.7
120,0.9312362356901018,0.17960038275168422,0.05855178295005525,0.648,0.9262,10.53,-32.61,87.3
121,0.08770901191076841,0.9867949275607917,0.20930415039518974,0.6155,0.8739,9.88,-32.68,80.56
122,0.7743214161418432,1.006847119962889,0.16681887916411908,0.61,0.868,9.5,-32.14,76.7
123,0.8983665473615358,1.1437982206059785,0.13526747045508786,0.5983,0.8509,9.23,-32.19,73.97
124,0.364192017772054,0.47165997030639434,0.07880582431249983,0.6395,0.9108,10.5,-33.11,86.98
125,0.14778337254219165,1.4041911950636161,0.21895201859937663,0.5889,0.8348,9.23,-32.55,73.98
126,0.38331982277740984,1.0945285630160668,0.27649653262644996,0.6122,0.8701,9.59,-31.95,77.54
127,0.9361399868384622,1.1704522408640883,0.23968478206227017,0.6025,0.8574,9.19,-31.55,73.5
128,0.3763594734808262,1.479947317386483,0.35888011800182174,0.591,0.8387,9.03,-31.48,71.91
129,0.9511946600038411,0.17771786582556204,0.4252668395953913,0.6707,0.9609,10.55,-30.45,87.54
130,0.6370738839912076,0.18288251750266887,0.29412899998461034,0.6656,0.9516,10.74,-31.56,89.61
131,0.6860963651054488,0.018454028832904257,0.22715898092087328,0.6691,0.9573,10.92,-31.89,91.5
132,0.8253995111963212,0.4430385380161348,0.22927404089927556,0.6462,0.9229,10.27,-31.72,84.56
133,0.4423141270678932,0.4528910871637374,0.4592209477577771,0.6632,0.947,10.53,-30.82,87.29
134,0.7812940354315159,0.16588261649416575,0.49851732891878653,0.6775,0.9706,10.68,-30.2,88.96
135,0.8792000243077452,0.42586265679605845,0.4184482898304691,0.6584,0.9417,10.27,-30.56,84.63
136,0.10641953187138287,1.498657095711358,0.33284236805326844,0.5885,0.8341,9.12,-31.95,72.87
137,0.650125015558797,0.13566109047619912,0.44851669944831263,0.6771,0.9693,10.81,-30.64,90.28
